timestamp,value,gesture
1780322285.624075,542,relax
1780322285.644498,517,relax
1780322285.665081,532,relax
1780322285.685434,531,relax
1780322285.705321,535,relax
1780322285.726323,530,relax
1780322285.746311,520,relax
1780322285.767515,547,relax
1780322285.784097,524,relax
1780322285.804100,523,relax
1780322285.825103,529,relax
1780322285.845106,525,relax
1780322285.865529,526,relax
1780322285.885379,518,relax
1780322285.906379,535,relax
1780322285.926325,535,relax
1780322285.943540,540,relax
1780322285.964123,515,relax
1780322285.984545,529,relax
1780322286.005128,528,relax
1780322286.025187,547,relax
1780322286.046133,523,relax
1780322286.066311,508,relax
1780322286.086312,513,relax
1780322286.107585,521,relax
1780322286.124196,531,relax
1780322286.144147,534,relax
1780322286.164313,528,relax
1780322286.185153,531,relax
1780322286.205575,529,relax
1780322286.225751,535,relax
1780322286.246634,524,relax
1780322286.266321,518,relax
1780322286.287312,527,relax
1780322286.308167,523,relax
1780322286.328345,521,relax
1780322286.345174,527,relax
1780322286.365313,536,relax
1780322286.386180,546,relax
1780322286.406317,526,relax
1780322286.426311,534,relax
1780322286.446316,527,relax
1780322286.468313,515,relax
1780322286.488193,532,relax
1780322286.504617,535,relax
1780322286.525200,519,relax
1780322286.545623,525,relax
1780322286.566310,527,relax
1780322286.586312,528,relax
1780322286.606723,523,relax
1780322286.627312,528,relax
1780322286.648312,527,relax
1780322286.668315,530,relax
1780322286.685222,538,relax
1780322286.705350,530,relax
1780322286.725343,520,relax
1780322286.746309,535,relax
1780322286.767309,520,relax
1780322286.787311,519,relax
1780322286.807658,524,relax
1780322286.828311,522,relax
1780322286.844663,533,relax
1780322286.865314,523,relax
1780322286.885669,532,relax
1780322286.905360,531,relax
1780322286.926323,533,relax
1780322286.946320,540,relax
1780322286.967680,524,relax
1780322286.988263,533,relax
1780322287.008715,525,relax
1780322287.025268,530,relax
1780322287.045271,520,relax
1780322287.066309,527,relax
1780322287.086309,518,relax
1780322287.106457,529,relax
1780322287.127311,517,relax
1780322287.147706,516,relax
1780322287.168312,523,relax
1780322287.184711,524,relax
1780322287.208538,547,relax
1780322287.225716,512,relax
1780322287.246310,525,relax
1780322287.266310,526,relax
1780322287.286781,532,relax
1780322287.307727,521,relax
1780322287.328313,552,relax
1780322287.348716,523,relax
1780322287.369318,529,relax
1780322287.389317,530,relax
1780322287.405307,526,relax
1780322287.426311,532,relax
1780322287.446326,530,relax
1780322287.467329,530,relax
1780322287.487752,528,relax
1780322287.508334,520,relax
1780322287.528758,511,relax
1780322287.549340,517,relax
1780322287.569326,512,relax
1780322287.586312,517,relax
1780322287.606344,518,relax
1780322287.627311,509,relax
1780322287.647774,519,relax
1780322287.668108,527,relax
1780322287.688107,532,relax
1780322287.708659,537,relax
1780322287.728663,530,relax
1780322287.745667,526,relax
1780322287.765671,525,relax
1780322287.786676,526,relax
1780322287.807443,528,relax
1780322287.827799,520,relax
1780322287.848343,536,relax
1780322287.868804,524,relax
1780322287.889387,532,relax
1780322287.909317,530,relax
1780322287.926320,522,relax
1780322287.946548,521,relax
1780322287.967311,532,relax
1780322287.986774,512,relax
1780322288.008343,521,relax
1780322288.028311,516,relax
1780322288.048829,526,relax
1780322288.069277,541,relax
1780322288.085847,533,relax
1780322288.106380,535,relax
1780322288.126310,519,relax
1780322288.147422,534,relax
1780322288.167313,544,relax
1780322288.188343,521,relax
1780322288.208851,518,relax
1780322288.228716,523,relax
1780322288.249857,530,relax
1780322288.270437,526,relax
1780322288.290861,519,relax
1780322288.307445,523,relax
1780322288.327311,528,relax
1780322288.347315,533,relax
1780322288.368314,537,relax
1780322288.388876,521,relax
1780322288.409458,522,relax
1780322288.429312,523,relax
1780322288.450464,523,relax
1780322288.466311,536,relax
1780322288.487469,512,relax
1780322288.507892,521,relax
1780322288.528311,532,relax
1780322288.548311,529,relax
1780322288.569480,537,relax
1780322288.589903,563,relax
1780322288.610486,521,relax
1780322288.630909,527,relax
1780322288.646310,529,relax
1780322288.667497,525,relax
1780322288.687917,546,relax
1780322288.708317,521,relax
1780322288.728923,529,relax
1780322288.748715,534,relax
1780322288.769928,545,relax
1780322288.790511,554,relax
1780322288.806382,531,relax
1780322288.827312,519,relax
1780322288.847939,514,relax
1780322288.868097,528,relax
1780322288.888944,521,relax
1780322288.909552,501,relax
1780322288.929530,516,relax
1780322288.950533,524,relax
1780322288.970536,520,relax
1780322288.986367,520,relax
1780322289.007541,527,relax
1780322289.027312,522,relax
1780322289.048311,518,relax
1780322289.068969,527,relax
1780322289.089552,518,relax
1780322289.109349,528,relax
1780322289.130317,511,relax
1780322289.150979,522,relax
1780322289.171350,524,relax
1780322289.191984,514,relax
1780322289.208342,523,relax
1780322289.228342,524,relax
1780322289.248714,533,relax
1780322289.269577,519,relax
1780322289.290000,516,relax
1780322289.310583,521,relax
1780322289.330550,535,relax
1780322289.351492,522,relax
1780322289.368011,521,relax
1780322289.388341,521,relax
1780322289.409016,520,relax
1780322289.428992,541,relax
1780322289.450022,534,relax
1780322289.470604,537,relax
1780322289.491029,529,relax
1780322289.511610,528,relax
1780322289.531311,517,relax
1780322289.548341,519,relax
1780322289.568091,524,relax
1780322289.589041,529,relax
1780322289.609623,516,relax
