rms,mav,zc,wl,std,c_rms,c_mav,c_zc,c_wl,c_std,mean,median,min,max,ptp,q25,q75,iemg,gesture
521.0815675112678,520.8,15.0,724.0,17.127755252805315,17.127755252805315,14.343999999999996,15.0,724.0,17.127755252805315,520.8,519.5,484.0,555.0,71.0,508.0,535.0,717.1999999999998,relax
518.452331463559,518.14,21.0,830.0,17.993343213533166,17.993343213533166,14.6368,21.0,830.0,17.993343213533166,518.14,516.0,483.0,555.0,72.0,504.5,532.25,731.8399999999999,relax
515.9243940657942,515.6666666666666,25.0,898.0,16.30549849117627,16.30549849117627,12.549019607843135,25.0,898.0,16.30549849117627,515.6666666666666,515.0,483.0,553.0,70.0,503.5,523.5,639.9999999999999,relax
514.3409180689399,514.06,26.0,941.0,16.996952668052,16.996952668052,13.304799999999995,26.0,941.0,16.996952668052,514.06,512.5,483.0,553.0,70.0,502.25,520.0,665.2399999999998,relax
513.9121325674264,513.64,26.0,945.0,16.722152971432834,16.722152971432834,13.102399999999998,26.0,945.0,16.722152971432838,513.64,511.5,483.0,553.0,70.0,502.25,520.0,655.1199999999999,relax
511.37119590371924,511.14,27.0,895.0,15.3753178828927,15.3753178828927,11.9112,27.0,895.0,15.375317882892698,511.14,511.0,483.0,553.0,70.0,502.0,519.0,595.56,relax
510.2901135628634,510.0816326530612,21.0,809.0,14.585199004041913,14.585199004041913,11.229487713452727,21.0,809.0,14.585199004041913,510.0816326530612,508.0,483.0,553.0,70.0,502.0,518.0,550.2448979591836,relax
512.0027343676985,511.76,21.0,867.0,15.763958893628212,15.763958893628212,12.140799999999999,21.0,867.0,15.763958893628212,511.76,511.0,483.0,553.0,70.0,502.0,517.75,607.04,relax
513.5535609846357,513.3,24.0,951.0,16.135984630632244,16.135984630632244,12.495999999999995,24.0,951.0,16.135984630632244,513.3,511.5,483.0,553.0,70.0,502.0,518.75,624.7999999999997,relax
515.5032298637905,515.26,24.0,872.0,15.833900340724645,15.833900340724645,12.771199999999999,24.0,872.0,15.833900340724643,515.26,513.5,483.0,553.0,70.0,503.25,527.25,638.56,relax
512.0905532167895,511.83673469387753,22.0,823.0,16.12115727194408,16.12115727194408,13.282798833819237,22.0,823.0,16.12115727194408,511.83673469387753,508.0,483.0,548.0,65.0,502.0,523.0,650.8571428571427,relax
513.0325525734211,512.72,19.0,786.0,17.905351155450706,17.905351155450706,14.577600000000002,19.0,786.0,17.90535115545071,512.72,510.5,465.0,548.0,83.0,502.0,528.0,728.8800000000001,relax
513.9439269025366,513.6,16.0,826.0,18.79893614011176,18.79893614011176,15.824000000000002,16.0,826.0,18.798936140111756,513.6,511.5,465.0,548.0,83.0,502.0,529.5,791.2,relax
513.3730612332517,513.02,16.0,827.0,19.03627064316958,19.03627064316958,15.8616,16.0,827.0,19.03627064316958,513.02,510.5,465.0,548.0,83.0,499.0,529.5,793.0799999999999,relax
513.5625765181883,513.2,15.0,846.0,19.294558818485587,19.294558818485587,16.04,15.0,846.0,19.294558818485587,513.2,513.5,465.0,548.0,83.0,498.25,529.5,802.0,relax
513.9621775967566,513.6,17.0,789.0,19.291448882859992,19.291448882859992,16.264,17.0,789.0,19.291448882859992,513.6,512.0,465.0,547.0,82.0,499.75,528.75,813.2,relax
511.98777329151136,511.6,17.0,798.0,19.922851201572527,19.922851201572527,17.0,17.0,798.0,19.92285120157253,511.6,512.0,465.0,547.0,82.0,495.5,528.0,850.0,relax
508.84775719265974,508.48,17.0,731.0,19.342430043818172,19.342430043818172,16.2592,17.0,731.0,19.342430043818176,508.48,507.0,465.0,547.0,82.0,492.5,522.0,812.96,relax
512.198594297173,511.84,15.0,761.0,19.162839038096624,19.162839038096624,15.819200000000006,15.0,761.0,19.162839038096624,511.84,514.0,465.0,547.0,82.0,498.25,525.75,790.9600000000003,relax
