rms,mav,zc,wl,std,c_rms,c_mav,c_zc,c_wl,c_std,mean,median,min,max,ptp,q25,q75,iemg
522.5500358817326,522.34,25.0,820.0,14.814330899504034,14.814330899504034,11.832799999999995,25.0,820.0,14.814330899504034,522.34,524.0,478.0,555.0,77.0,512.5,532.0,591.6399999999999
479.757959808902,479.02,18.0,1265.0,26.599616538589423,26.599616538589423,22.7824,18.0,1265.0,26.599616538589423,479.02,473.5,433.0,538.0,105.0,459.5,501.75,1139.12
506.8104379351317,506.38,23.0,1128.0,20.88338095232666,20.88338095232666,16.8808,23.0,1128.0,20.883380952326657,506.38,504.0,466.0,552.0,86.0,490.25,523.0,844.04
501.6349070788435,501.5,30.0,715.0,11.63314230979747,11.63314230979747,9.78,30.0,715.0,11.63314230979747,501.5,502.5,474.0,526.0,52.0,493.0,509.0,489.0
492.83029533501696,492.7,34.0,765.0,11.331813623599713,11.331813623599713,9.328,34.0,765.0,11.331813623599713,492.7,492.0,467.0,517.0,50.0,484.25,501.75,466.4
527.3355667883592,527.24,18.0,421.0,10.039043779165423,10.039043779165423,8.489600000000001,18.0,421.0,10.039043779165423,527.24,524.5,505.0,551.0,46.0,520.25,534.75,424.48
514.7806745179377,513.9591836734694,20.0,1508.0,29.070610156028977,29.070610156028977,23.017909204498125,20.0,1508.0,29.070610156028977,513.9591836734694,512.0,444.0,612.0,168.0,494.0,530.0,1127.8775510204082
495.3258725324168,495.12,29.0,769.0,14.279551813694994,14.279551813694994,11.1696,29.0,769.0,14.279551813694994,495.12,492.0,461.0,531.0,70.0,487.25,502.75,558.48
495.7162898271551,495.56,25.0,582.0,12.44694339988738,12.44694339988738,9.5152,25.0,582.0,12.44694339988738,495.56,497.0,461.0,526.0,65.0,488.75,503.75,475.76
517.4204866450497,517.0,17.0,1048.0,20.85569466596593,20.85569466596593,16.52,17.0,1048.0,20.85569466596593,517.0,517.5,475.0,585.0,110.0,501.25,531.75,826.0
558.4408689213502,537.3877551020408,5.0,3101.0,151.89010747254628,151.89010747254628,116.79216992919618,5.0,3101.0,151.89010747254628,537.3877551020408,510.0,151.0,866.0,715.0,455.0,622.0,5722.816326530613
503.605242228474,503.0,17.0,925.0,24.682787524912985,24.682787524912985,20.24,17.0,925.0,24.682787524912985,503.0,504.5,457.0,559.0,102.0,487.25,519.25,1012.0
510.4841819292739,509.46,31.0,1909.0,32.32040222521991,32.32040222521991,24.6104,31.0,1909.0,32.32040222521991,509.46,501.0,450.0,621.0,171.0,492.0,524.5,1230.52
